"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.668152560E-1;-8.619125932E-2;-5.363011956E-1;9.509769440E0;9.525269692E0
3.718200750E-1;1.915361360E-2;-1.915361285E-1;1.005564690E1;1.005748912E1
3.768554100E-1;-4.788403213E-2;-2.873042040E-2;9.787496567E0;9.787655867E0
3.818907460E-1;-3.830722719E-2;3.830722719E-2;9.835380554E0;9.835529754E0
3.869260810E-1;-1.628057212E-1;-1.244984865E-1;9.969455719E0;9.971562210E0
3.919308990E-1;-4.022258818E-1;-7.374141216E-1;9.854534149E0;9.890268376E0
3.969662340E-1;-7.565677166E-1;-1.292868972E0;9.835380554E0;9.948799703E0
4.020015700E-1;-1.043871999E0;-1.350329757E0;9.864110947E0;1.001068149E1
4.070063880E-1;-1.053448796E0;-1.254561663E0;9.816226959E0;9.951984277E0
4.120417230E-1;-8.044517636E-1;-7.852981687E-1;9.950302124E0;1.001360815E1
4.170770580E-1;-4.405331016E-1;-2.681505978E-1;9.758766174E0;9.772384121E0
4.220818770E-1;-4.788403213E-2;2.298433632E-1;9.806650162E0;9.809460140E0
4.271172120E-1;3.160346150E-1;7.278373241E-1;9.864110947E0;9.895974425E0
4.321525470E-1;5.650315881E-1;8.523358107E-1;9.825803757E0;9.878874252E0
4.371878820E-1;8.140285611E-1;1.034295082E0;9.969455719E0;1.005596620E1
4.421927010E-1;7.565677166E-1;9.959878922E-1;9.873687744E0;9.952592439E0
4.472280370E-1;6.512228847E-1;9.193734527E-1;9.902418137E0;9.966304418E0
4.522633720E-1;5.171475410E-1;7.278373241E-1;9.854534149E0;9.894899294E0
4.572681900E-1;3.160346150E-1;4.979939461E-1;9.921571732E0;9.939087557E0
4.623035250E-1;2.777273953E-1;4.884171486E-1;9.883264542E0;9.899222283E0
4.673388610E-1;1.532289088E-1;1.436520964E-1;9.806650162E0;9.808899144E0
4.723436780E-1;5.746084079E-2;-1.819593310E-1;9.854534149E0;9.856381397E0
4.773790140E-1;-7.661445439E-2;-1.149216816E-1;9.892841339E0;9.893805462E0
4.824143490E-1;4.788403213E-2;-1.149216816E-1;9.873687744E0;9.874472621E0
4.874496850E-1;-1.915361360E-2;-2.011129409E-1;9.969455719E0;9.971502425E0
4.924545030E-1;2.873042040E-2;-1.723825186E-1;9.825803757E0;9.827357765E0
4.974898390E-1;-2.873042040E-2;-8.619125932E-2;9.998186111E0;9.998598896E0
5.025251740E-1;-4.788403213E-2;-1.723825186E-1;9.806650162E0;9.808282011E0
5.075299920E-1;-9.576806799E-3;-1.628057212E-1;9.825803757E0;9.827157111E0
5.125653270E-1;-1.915361360E-2;-1.244984865E-1;9.854534149E0;9.855339164E0
5.176006630E-1;-2.681505978E-1;-1.915361285E-1;9.787496567E0;9.793042422E0
5.226054810E-1;-1.063025594E0;-6.991068721E-1;9.988609314E0;1.006931427E1
5.276408160E-1;-7.852981687E-1;-6.703764796E-1;9.758766174E0;9.813236728E0
5.326761510E-1;0.000000000E0;-2.585737705E-1;9.969455719E0;9.972808417E0
5.377114870E-1;3.160346150E-1;-1.532289088E-1;9.768342972E0;9.774655052E0
5.427163060E-1;5.171475410E-1;-8.619125932E-2;9.835380554E0;9.849344199E0
5.477516410E-1;4.213795066E-1;-2.873042040E-2;9.969455719E0;9.978398341E0
5.527869760E-1;2.777273953E-1;-2.873042040E-2;9.749189377E0;9.753186733E0
5.577917940E-1;2.202665508E-1;6.703764945E-2;9.835380554E0;9.838075119E0
5.628271300E-1;1.436520964E-1;1.436520964E-1;9.825803757E0;9.827903709E0
5.678624650E-1;-6.703764945E-2;6.703764945E-2;9.844957352E0;9.845413823E0
5.728672830E-1;-1.149216816E-1;-9.576806799E-3;9.911994934E0;9.912665751E0
5.779026180E-1;0.000000000E0;-1.723825186E-1;9.902418137E0;9.903918451E0
5.829379540E-1;1.915361360E-2;-2.681505978E-1;9.787496567E0;9.791187908E0
5.879732890E-1;-9.576806426E-2;-1.723825186E-1;9.825803757E0;9.827782391E0
5.929781080E-1;-7.661445439E-2;-9.576806426E-2;9.816226959E0;9.816993074E0
5.980134430E-1;-3.830722719E-2;-1.819593310E-1;9.883264542E0;9.885013639E0
6.030487780E-1;-5.746084079E-2;-1.915361285E-1;9.758766174E0;9.760814776E0
6.080535960E-1;-5.746084079E-2;-1.532289088E-1;9.806650162E0;9.808015510E0
6.130889320E-1;-1.053448766E-1;-1.915361285E-1;9.844957352E0;9.847383860E0
6.181242670E-1;-3.830722719E-2;-2.106897533E-1;9.892841339E0;9.895158785E0
6.231290850E-1;-2.873042040E-2;-1.532289088E-1;9.873687744E0;9.874918440E0
6.281644200E-1;1.915361360E-2;-1.436520964E-1;9.768342972E0;9.769417956E0
6.331997560E-1;0.000000000E0;-2.298433632E-1;9.921571732E0;9.924233653E0
6.382350910E-1;-1.915361360E-2;-1.340752989E-1;9.356540680E0;9.357520854E0
6.432399090E-1;1.340752989E-1;-2.298433632E-1;1.031422138E1;1.031765317E1
6.482752440E-1;-6.703764945E-2;-1.436520964E-1;9.538499832E0;9.539817033E0
6.533105800E-1;7.661445439E-2;-2.011129409E-1;9.940725327E0;9.943054672E0
6.583153980E-1;-9.576806426E-2;-1.628057212E-1;9.940725327E0;9.942519663E0
6.633507340E-1;-5.746084079E-2;-1.915361285E-1;9.749189377E0;9.751239990E0
6.683860690E-1;-2.873042040E-2;-1.436520964E-1;9.979032516E0;9.980107781E0
6.733908870E-1;-4.788403213E-2;-2.394201756E-1;9.672574997E0;9.675656152E0
6.784262220E-1;-4.788403213E-2;-1.532289088E-1;9.988609314E0;9.989899299E0
6.834615580E-1;-2.873042040E-2;-1.532289088E-1;9.806650162E0;9.807889270E0
6.884968930E-1;-5.746084079E-2;-1.436520964E-1;9.969455719E0;9.970656197E0
6.935017110E-1;-2.873042040E-2;-1.628057212E-1;9.777919769E0;9.779317264E0
6.985370460E-1;-9.576806799E-3;-1.915361285E-1;9.931148529E0;9.932999995E0
7.035723820E-1;-5.746084079E-2;-1.819593310E-1;9.758766174E0;9.760631547E0
7.085772010E-1;-7.661445439E-2;-7.661445439E-2;9.892841339E0;9.893434657E0
7.136125360E-1;-1.053448766E-1;-6.703764945E-2;9.519346237E0;9.520165144E0
7.186478710E-1;3.830722719E-2;-1.723825186E-1;9.844957352E0;9.846540937E0
7.236832070E-1;-5.746084079E-2;-1.532289088E-1;9.902418137E0;9.903770282E0
7.286880250E-1;-9.576806799E-3;-1.723825186E-1;1.003649330E1;1.003797814E1
7.337233600E-1;-7.661445439E-2;-2.489969730E-1;9.538499832E0;9.542056818E0
7.387586950E-1;1.532289088E-1;-1.436520964E-1;1.003649330E1;1.003869079E1
7.437635130E-1;-1.053448766E-1;-1.532289088E-1;9.615114212E0;9.616912080E0
7.487988490E-1;-1.053448766E-1;-2.202665508E-1;9.988609314E0;9.991593012E0
7.538341840E-1;-1.915361360E-2;-1.819593310E-1;9.624691010E0;9.626429924E0
7.588695190E-1;-4.788403213E-2;-2.011129409E-1;9.950302124E0;9.952449530E0
7.638743380E-1;-1.915361360E-2;-1.053448766E-1;9.797073364E0;9.797658440E0
7.689096740E-1;5.746084079E-2;-1.532289088E-1;9.749189377E0;9.750562771E0
7.739450090E-1;9.576806799E-3;-1.532289088E-1;9.768342972E0;9.769549387E0
7.789498270E-1;9.576806799E-3;-1.628057212E-1;9.921571732E0;9.922912024E0
7.839851620E-1;-4.788403213E-2;-1.149216816E-1;9.787496567E0;9.788288355E0
7.890204980E-1;2.873042040E-2;-1.149216816E-1;9.921571732E0;9.922278874E0
7.940253150E-1;-5.746084079E-2;-1.723825186E-1;9.739612579E0;9.741307442E0
7.990606510E-1;-2.873042040E-2;-1.436520964E-1;9.950302124E0;9.951380493E0
8.040959860E-1;-3.830722719E-2;-1.436520964E-1;9.844957352E0;9.846079861E0
8.091313220E-1;-1.053448766E-1;-1.053448766E-1;9.797073364E0;9.798206039E0
8.141361400E-1;3.830722719E-2;-1.915361285E-1;9.873687744E0;9.875619636E0
8.191714750E-1;-8.619125932E-2;-1.628057212E-1;9.931148529E0;9.932856877E0
8.242068100E-1;-1.915361360E-2;-1.819593310E-1;9.883264542E0;9.884957970E0
8.292116290E-1;-8.619125932E-2;-2.202665508E-1;9.873687744E0;9.876520438E0
8.342469640E-1;4.788403213E-2;-2.202665508E-1;9.825803757E0;9.828388968E0
8.392823000E-1;-5.746084079E-2;-2.011129409E-1;9.806650162E0;9.808880444E0
8.442871180E-1;-2.873042040E-2;-2.011129409E-1;9.902418137E0;9.904501845E0
8.493224530E-1;-9.576806799E-3;-1.915361285E-1;9.892841339E0;9.894699973E0
8.543577880E-1;-8.619125932E-2;-5.746084079E-2;9.835380554E0;9.835926053E0
8.593931240E-1;0.000000000E0;-1.819593310E-1;9.902418137E0;9.904089769E0
8.643979420E-1;-3.830722719E-2;-1.053448766E-1;9.844957352E0;9.845595474E0
8.694332770E-1;-2.873042040E-2;-1.149216816E-1;9.864110947E0;9.864822208E0
8.744686120E-1;-4.788403213E-2;-1.340752989E-1;9.787496567E0;9.788531969E0
8.794734310E-1;0.000000000E0;-1.340752989E-1;9.797073364E0;9.797990748E0
8.845087670E-1;9.576806799E-3;-2.011129409E-1;9.883264542E0;9.885315176E0
8.895441020E-1;-6.703764945E-2;-1.819593310E-1;9.806650162E0;9.808567206E0
8.945489200E-1;-8.619125932E-2;-1.628057212E-1;9.892841339E0;9.894556301E0
8.995842550E-1;-1.915361360E-2;-1.436520964E-1;9.825803757E0;9.826872455E0
9.046195910E-1;-3.830722719E-2;-1.915361285E-1;9.864110947E0;9.866044714E0
9.096244080E-1;-1.053448766E-1;-1.244984865E-1;9.777919769E0;9.779279750E0
9.146597440E-1;-3.830722719E-2;-1.915361285E-1;9.854534149E0;9.856469795E0
9.196950790E-1;-1.053448766E-1;-1.532289088E-1;9.873687744E0;9.875438538E0
9.247304150E-1;-9.576806799E-3;-1.819593310E-1;9.816226959E0;9.817917938E0
9.297352330E-1;-7.661445439E-2;-1.723825186E-1;9.844957352E0;9.846764482E0
9.347705690E-1;-7.661445439E-2;-2.106897533E-1;9.816226959E0;9.818786670E0
9.398059040E-1;-2.873042040E-2;-1.628057212E-1;9.873687744E0;9.875071686E0
9.448107220E-1;0.000000000E0;-2.106897533E-1;9.710882187E0;9.713167507E0
9.498460570E-1;-8.619125932E-2;-1.244984865E-1;9.940725327E0;9.941878536E0
9.548813930E-1;9.576806799E-3;-1.628057212E-1;9.768342972E0;9.769704286E0
9.599167280E-1;-4.788403213E-2;-1.053448766E-1;9.998186111E0;9.998855732E0
9.649215460E-1;9.576806799E-3;-1.436520964E-1;9.787496567E0;9.788555393E0
9.699568810E-1;-7.661445439E-2;-1.628057212E-1;9.998186111E0;9.999805048E0
9.749922170E-1;-2.873042040E-2;-1.723825186E-1;9.902418137E0;9.903960123E0
9.799970350E-1;-1.915361360E-2;-1.723825186E-1;9.864110947E0;9.865635680E0
9.850323710E-1;0.000000000E0;-1.628057212E-1;9.883264542E0;9.884605389E0
9.900677060E-1;-1.915361360E-2;-2.298433632E-1;9.883264542E0;9.885955332E0
9.950725240E-1;-5.746084079E-2;-5.746084079E-2;9.873687744E0;9.874022137E0
1.000107859E0;-5.746084079E-2;-1.532289088E-1;9.902418137E0;9.903770282E0
1.005143195E0;-9.576806426E-2;-1.532289088E-1;9.825803757E0;9.827465090E0
1.010178530E0;9.576806799E-3;-1.532289088E-1;9.787496567E0;9.788700622E0
1.015183348E0;-6.703764945E-2;-2.106897533E-1;9.979032516E0;9.981481563E0
1.020218683E0;9.576806799E-3;-1.723825186E-1;9.873687744E0;9.875197067E0
1.025254019E0;-6.703764945E-2;-1.532289088E-1;9.931148529E0;9.932556783E0
1.030258837E0;-4.788403213E-2;-1.915361285E-1;9.797073364E0;9.799062479E0
1.035294172E0;-5.746084079E-2;-1.340752989E-1;9.931148529E0;9.932219744E0
1.040329507E0;9.576806799E-3;-1.915361285E-1;9.892841339E0;9.894699973E0
1.045334326E0;-5.746084079E-2;-1.628057212E-1;9.873687744E0;9.875197067E0
1.050369662E0;0.000000000E0;-2.202665508E-1;9.797073364E0;9.799549166E0
1.055404997E0;1.915361360E-2;-1.532289088E-1;9.835380554E0;9.836592734E0
1.060409815E0;-1.915361360E-2;-1.436520964E-1;9.892841339E0;9.893902796E0
1.065445150E0;-9.576806799E-3;-1.628057212E-1;9.835380554E0;9.836732591E0
1.070480486E0;3.830722719E-2;-2.202665508E-1;9.864110947E0;9.866644291E0
1.075515821E0;-8.619125932E-2;-1.723825186E-1;9.873687744E0;9.875568558E0
1.080520639E0;-2.873042040E-2;-2.202665508E-1;9.902418137E0;9.904909275E0
1.085555974E0;-3.830722719E-2;-8.619125932E-2;9.902418137E0;9.902867329E0
1.090591310E0;-3.830722719E-2;-9.576806426E-2;9.816226959E0;9.816768851E0
1.095596128E0;0.000000000E0;-1.723825186E-1;9.892841339E0;9.894343106E0
1.100631464E0;6.703764945E-2;-8.619125932E-2;9.835380554E0;9.835986663E0
1.105666799E0;-4.788403213E-2;-1.244984865E-1;9.902418137E0;9.903316500E0
1.110671617E0;-2.873042040E-2;-1.340752989E-1;9.835380554E0;9.836336323E0
1.115706952E0;0.000000000E0;-1.532289088E-1;9.911994934E0;9.913179241E0
1.120742288E0;-7.661445439E-2;-1.628057212E-1;9.883264542E0;9.884902300E0
1.125777623E0;-2.873042040E-2;-1.340752989E-1;9.768342972E0;9.769305300E0
1.130782441E0;4.788403213E-2;-1.723825186E-1;9.835380554E0;9.837007637E0
1.135817776E0;-1.915361360E-2;-1.532289088E-1;9.816226959E0;9.817441503E0
1.140853112E0;-1.915361360E-2;-1.149216816E-1;9.950302124E0;9.950984183E0
1.145857931E0;0.000000000E0;-9.576806426E-2;9.720458984E0;9.720930737E0
1.150893266E0;-4.788403213E-2;-7.661445439E-2;9.931148529E0;9.931559483E0
1.155928601E0;-2.873042040E-2;-1.819593310E-1;9.902418137E0;9.904131440E0
1.160963937E0;-9.576806799E-3;-1.723825186E-1;9.959878922E0;9.961375185E0
1.165968755E0;0.000000000E0;-2.011129409E-1;9.883264542E0;9.885310537E0
1.171004090E0;-5.746084079E-2;-1.340752989E-1;9.835380554E0;9.836462198E0
1.176039425E0;0.000000000E0;-1.723825186E-1;9.931148529E0;9.932644504E0
1.181044243E0;0.000000000E0;-1.723825186E-1;9.806650162E0;9.808165125E0
1.186079579E0;-6.703764945E-2;-1.149216816E-1;9.854534149E0;9.855432225E0
1.191114914E0;1.915361360E-2;-1.053448766E-1;9.825803757E0;9.826387122E0
1.196119733E0;-9.576806799E-3;-1.244984865E-1;9.777919769E0;9.778717022E0
1.201155068E0;-3.830722719E-2;-1.340752989E-1;9.844957352E0;9.845944794E0
1.206190404E0;5.746084079E-2;-1.149216816E-1;9.777919769E0;9.778763918E0
1.211225738E0;-3.830722719E-2;-1.532289088E-1;9.844957352E0;9.846224241E0
1.216230557E0;1.915361360E-2;-1.436520964E-1;9.797073364E0;9.798145196E0
1.221265892E0;-9.576806799E-3;-1.436520964E-1;9.892841339E0;9.893888892E0
1.226301228E0;9.576806799E-3;-1.628057212E-1;9.931148529E0;9.932487530E0
1.231306045E0;-2.873042040E-2;-8.619125932E-2;9.787496567E0;9.787918237E0
1.236341381E0;-6.703764945E-2;-1.723825186E-1;9.950302124E0;9.952021008E0
1.241376716E0;9.576806426E-2;-7.661445439E-2;9.768342972E0;9.769112842E0
1.246381534E0;-6.703764945E-2;-1.244984865E-1;9.883264542E0;9.884275994E0
1.251416869E0;-7.661445439E-2;-2.106897533E-1;9.844957352E0;9.847509594E0
1.256452205E0;-4.788403213E-2;-1.819593310E-1;9.854534149E0;9.856330218E0
1.261487540E0;-4.788403213E-2;-9.576806426E-2;9.873687744E0;9.874268280E0
1.266492359E0;1.915361360E-2;-1.915361285E-1;9.806650162E0;9.808539154E0
1.271527694E0;-9.576806799E-3;-1.436520964E-1;9.883264542E0;9.884313109E0
1.276563030E0;9.576806799E-3;-9.576806426E-2;9.854534149E0;9.855004137E0
1.281567848E0;5.746084079E-2;-1.436520964E-1;9.873687744E0;9.874899865E0
1.286603183E0;-1.915361360E-2;-1.819593310E-1;9.864110947E0;9.865807662E0
1.291638518E0;-4.788403213E-2;-1.915361285E-1;9.873687744E0;9.875661428E0
1.296643336E0;9.576806799E-3;-1.053448766E-1;9.902418137E0;9.902983097E0
1.301678672E0;-5.746084079E-2;-1.436520964E-1;9.816226959E0;9.817446174E0
1.306714007E0;-9.576806799E-3;-1.723825186E-1;9.835380554E0;9.836895755E0
1.311718826E0;-6.703764945E-2;-2.202665508E-1;9.777919769E0;9.780630164E0
1.316754161E0;-9.576806799E-3;-1.053448766E-1;9.806650162E0;9.807220639E0
1.321789496E0;1.915361360E-2;-1.723825186E-1;9.825803757E0;9.827334433E0
1.326824832E0;0.000000000E0;-1.628057212E-1;9.816226959E0;9.817576963E0
1.331829650E0;2.873042040E-2;-1.819593310E-1;9.844957352E0;9.846680653E0
1.336864985E0;0.000000000E0;-2.202665508E-1;9.902418137E0;9.904867607E0
1.341900320E0;3.830722719E-2;-2.202665508E-1;9.864110947E0;9.866644291E0
1.346905138E0;-6.703764945E-2;-1.149216816E-1;9.902418137E0;9.903311870E0
1.351940474E0;-7.661445439E-2;-1.436520964E-1;9.854534149E0;9.855878905E0
1.356975809E0;-3.830722719E-2;-2.011129409E-1;9.835380554E0;9.837511093E0
1.361980628E0;-4.788403213E-2;-1.244984865E-1;9.777919769E0;9.778829570E0
1.367015963E0;-9.576806799E-3;-1.149216816E-1;9.816226959E0;9.816904320E0
1.372051299E0;-5.746084079E-2;-1.628057212E-1;9.768342972E0;9.769868570E0
1.377086634E0;-2.873042040E-2;-5.746084079E-2;9.892841339E0;9.893049931E0
1.382091452E0;-9.576806799E-3;-1.819593310E-1;9.835380554E0;9.837068240E0
1.387126787E0;-7.661445439E-2;-1.436520964E-1;9.835380554E0;9.836727929E0
1.392162123E0;-1.915361360E-2;-1.915361285E-1;9.816226959E0;9.818114109E0
1.397166940E0;-1.915361360E-2;-1.436520964E-1;9.959878922E0;9.960933235E0
1.402202276E0;-1.915361360E-2;-1.340752989E-1;9.835380554E0;9.836313013E0
1.407237611E0;-2.873042040E-2;-1.723825186E-1;9.854534149E0;9.856083627E0
1.412272947E0;-9.576806799E-3;-1.532289088E-1;9.844957352E0;9.846154380E0
1.417277765E0;-2.873042040E-2;-1.436520964E-1;9.758766174E0;9.759865706E0
1.422313100E0;9.576806799E-3;-1.340752989E-1;9.825803757E0;9.826723125E0
1.427348435E0;4.788403213E-2;-1.723825186E-1;9.911994934E0;9.913609443E0
1.432353254E0;-1.915361360E-2;-1.149216816E-1;9.816226959E0;9.816918334E0
1.437388589E0;-7.661445439E-2;-1.436520964E-1;9.825803757E0;9.827152444E0
1.442423925E0;-9.576806799E-3;-1.149216816E-1;9.864110947E0;9.864785019E0
1.447428743E0;-1.915361360E-2;-1.532289088E-1;9.902418137E0;9.903622111E0
1.452464078E0;-5.746084079E-2;-1.436520964E-1;9.806650162E0;9.807870567E0
1.457499413E0;-1.915361360E-2;-7.661445439E-2;9.844957352E0;9.845274089E0
1.462534749E0;-4.788403213E-2;-2.106897533E-1;9.816226959E0;9.818604522E0
1.467539567E0;-3.830722719E-2;-1.628057212E-1;9.854534149E0;9.855953350E0
1.472574902E0;-3.830722719E-2;-1.915361285E-1;9.883264542E0;9.885194562E0
1.477610237E0;-2.873042040E-2;-1.532289088E-1;9.816226959E0;9.817464859E0
1.482615056E0;9.576806799E-3;-1.819593310E-1;9.864110947E0;9.865793718E0
1.487650392E0;-4.788403213E-2;-1.628057212E-1;9.902418137E0;9.903872149E0
1.492685727E0;-5.746084079E-2;-1.340752989E-1;9.864110947E0;9.865189441E0
1.497690545E0;0.000000000E0;-1.915361285E-1;9.806650162E0;9.808520453E0
1.502725880E0;1.915361360E-2;-1.915361285E-1;9.902418137E0;9.904288864E0
1.507761216E0;-6.703764945E-2;-1.915361285E-1;9.777919769E0;9.780025314E0
1.512796551E0;-1.915361360E-2;-1.915361285E-1;9.864110947E0;9.865988938E0
1.517801369E0;0.000000000E0;-1.532289088E-1;9.911994934E0;9.913179241E0
1.522836704E0;-2.873042040E-2;-1.436520964E-1;9.835380554E0;9.836471522E0
1.527872040E0;-9.576806799E-3;-1.819593310E-1;9.806650162E0;9.808342791E0
1.532876858E0;-1.915361360E-2;-1.340752989E-1;9.864110947E0;9.865040690E0
1.537912194E0;3.830722719E-2;-2.106897533E-1;9.835380554E0;9.837711536E0
1.542947529E0;9.576806799E-3;-5.746084079E-2;9.768342972E0;9.768516667E0
1.547952347E0;-2.873042040E-2;-2.106897533E-1;9.797073364E0;9.799380701E0
1.552987682E0;-3.830722719E-2;-1.723825186E-1;9.892841339E0;9.894417261E0
1.558023018E0;-9.576806799E-3;-1.340752989E-1;9.797073364E0;9.797995428E0
