"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.360500590E-1;8.619125932E-2;1.656787634E0;9.672574997E0;9.813820931E0
3.410854040E-1;4.788403213E-2;1.628057122E0;9.710882187E0;9.846527089E0
3.461207490E-1;2.873042040E-2;1.675941229E0;9.682151794E0;9.826172592E0
3.511560930E-1;2.873042040E-2;1.656787634E0;9.643844604E0;9.785167830E0
3.561914380E-1;1.915361360E-2;1.637633920E0;9.672574997E0;9.810245603E0
3.611962650E-1;6.703764945E-2;1.618480325E0;9.730035782E0;9.863953007E0
3.662316100E-1;9.576806426E-2;1.599326730E0;9.710882187E0;9.842166954E0
3.712669550E-1;6.703764945E-2;1.618480325E0;9.739612579E0;9.873399911E0
3.763022990E-1;1.915361360E-2;1.599326730E0;9.730035782E0;9.860619107E0
3.813376440E-1;8.619125932E-2;1.580173135E0;9.730035782E0;9.857888840E0
3.863424710E-1;7.661445439E-2;1.599326730E0;9.749189377E0;9.879798038E0
3.913778160E-1;7.661445439E-2;1.628057122E0;9.739612579E0;9.875043947E0
3.964131600E-1;5.746084079E-2;1.561019540E0;9.710882187E0;9.835716375E0
4.014485060E-1;8.619125932E-2;1.551442742E0;9.777919769E0;9.900612028E0
4.064533320E-1;1.532289088E-1;1.599326730E0;9.720458984E0;9.852342257E0
4.114886780E-1;5.746084079E-2;1.599326730E0;9.662998199E0;9.794625156E0
4.165240220E-1;1.532289088E-1;1.656787634E0;9.730035782E0;9.871272495E0
4.215593670E-1;9.576806426E-2;1.647210717E0;9.586383820E0;9.727344417E0
4.265947110E-1;1.628057212E-1;1.675941229E0;9.605537415E0;9.752006651E0
4.315995390E-1;1.340752989E-1;1.675941229E0;9.701305389E0;9.845916994E0
4.366348830E-1;1.053448766E-1;1.647210717E0;9.605537415E0;9.746319804E0
4.416702290E-1;7.661445439E-2;1.599326730E0;9.576807022E0;9.709734729E0
4.467055730E-1;2.873042040E-2;1.608903527E0;9.595960617E0;9.729946360E0
4.517409170E-1;-9.576806799E-3;1.637633920E0;9.672574997E0;9.810231579E0
4.567457450E-1;8.619125932E-2;1.647210717E0;9.691728592E0;9.831090234E0
4.617810900E-1;-3.830722719E-2;1.589749932E0;9.653421402E0;9.783522732E0
4.668164340E-1;1.915361360E-2;1.647210717E0;9.653421402E0;9.792967618E0
