"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.850919670E-1;-1.321599364E0;1.177947283E0;9.653421402E0;9.814414371E0
3.901273040E-1;-1.273715258E0;1.149216771E0;9.634267807E0;9.785814525E0
3.951626400E-1;-1.292868972E0;1.206677675E0;9.595960617E0;9.757563290E0
4.001674600E-1;-1.369483352E0;1.158793569E0;9.672574997E0;9.837529886E0
4.052027960E-1;-1.273715258E0;1.139639974E0;9.730035782E0;9.879004309E0
4.102381330E-1;-1.312022567E0;1.110909581E0;9.749189377E0;9.899606902E0
4.152429510E-1;-1.292868972E0;1.158793569E0;9.825803757E0;9.978012436E0
4.202782890E-1;-1.350329757E0;1.120486379E0;9.825803757E0;9.981247399E0
4.253136250E-1;-1.312022567E0;1.149216771E0;9.854534149E0;1.000769432E1
4.303489620E-1;-1.254561663E0;1.177947283E0;9.844957352E0;9.994231838E0
4.353537800E-1;-1.292868972E0;1.130063176E0;9.911994934E0;1.005963203E1
4.403891170E-1;-1.254561663E0;1.177947283E0;9.854534149E0;1.000366573E1
4.454244530E-1;-1.292868972E0;1.139639974E0;9.864110947E0;1.001353954E1
4.504292730E-1;-1.264138460E0;1.110909581E0;9.806650162E0;9.950002690E0
4.554646090E-1;-1.206677675E0;1.101332784E0;9.739612579E0;9.875680134E0
4.604999460E-1;-1.206677675E0;1.158793569E0;9.615114212E0;9.759574522E0
4.655047650E-1;-1.206677675E0;1.168370485E0;9.682151794E0;9.826760604E0
4.705401010E-1;-1.216254473E0;1.177947283E0;9.720458984E0;9.866821049E0
4.755754370E-1;-1.197100878E0;1.139639974E0;9.615114212E0;9.756139149E0
4.805802570E-1;-1.197100878E0;1.187524080E0;9.605537415E0;9.752415751E0
4.856155930E-1;-1.244984865E0;1.130063176E0;9.672574997E0;9.817623805E0
4.906509300E-1;-1.302445769E0;1.187524080E0;9.615114212E0;9.775326068E0
4.956862660E-1;-1.283292055E0;1.197100878E0;9.605537415E0;9.764539827E0
5.006910860E-1;-1.254561663E0;1.206677675E0;9.672574997E0;9.827955181E0
5.057264220E-1;-1.264138460E0;1.177947283E0;9.710882187E0;9.863409081E0
5.107617590E-1;-1.187524080E0;1.177947283E0;9.787496567E0;9.929393853E0
5.157665780E-1;-1.302445769E0;1.139639974E0;9.902418137E0;1.005251358E1
5.208019140E-1;-1.302445769E0;1.120486379E0;9.854534149E0;1.000318439E1
5.258372500E-1;-1.350329757E0;1.177947283E0;9.892841339E0;1.005381818E1
5.308420700E-1;-1.350329757E0;1.168370485E0;9.816226959E0;9.977313855E0
5.358774070E-1;-1.273715258E0;1.063025594E0;9.854534149E0;9.993208557E0
5.409127430E-1;-1.244984865E0;1.130063176E0;9.749189377E0;9.893114960E0
5.459480790E-1;-1.340752959E0;1.120486379E0;9.691728592E0;9.847980063E0
5.509528980E-1;-1.407790542E0;1.091755986E0;9.643844604E0;9.807015045E0
5.559882350E-1;-1.292868972E0;1.082179189E0;9.643844604E0;9.790115461E0
5.610235720E-1;-1.331176162E0;1.110909581E0;9.653421402E0;9.807889418E0
5.660283910E-1;-1.244984865E0;1.101332784E0;9.586383820E0;9.729423208E0
5.710637270E-1;-1.273715258E0;1.187524080E0;9.595960617E0;9.752693175E0
5.760990640E-1;-1.321599364E0;1.158793569E0;9.557653427E0;9.717930152E0
5.811038830E-1;-1.350329757E0;1.225831270E0;9.605537415E0;9.777136686E0
5.861392200E-1;-1.331176162E0;1.139639974E0;9.662998199E0;9.820608100E0
5.911745560E-1;-1.283292055E0;1.177947283E0;9.576807022E0;9.733942215E0
5.961793750E-1;-1.264138460E0;1.177947283E0;9.519346237E0;9.674893210E0
6.012147110E-1;-1.244984865E0;1.158793569E0;9.548076630E0;9.698379100E0
6.062500480E-1;-1.168370485E0;1.177947283E0;9.595960617E0;9.738331970E0
6.112853840E-1;-1.264138460E0;1.216254473E0;9.653421402E0;9.811516996E0
6.162902040E-1;-1.264138460E0;1.158793569E0;9.643844604E0;9.795130797E0
