"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.195781840E-1;-6.033388376E-1;7.948749661E-1;9.758766174E0;9.809656529E0
3.246135170E-1;-6.607996821E-1;7.757213712E-1;9.730035782E0;9.783250798E0
3.296488510E-1;-7.086837292E-1;7.757213712E-1;9.883264542E0;9.938958410E0
3.346841840E-1;-6.416460276E-1;8.236053586E-1;9.883264542E0;9.938257061E0
3.396890000E-1;-6.416460276E-1;8.331822157E-1;9.854534149E0;9.910486644E0
3.447243340E-1;-6.416460276E-1;9.385270476E-1;9.797073364E0;9.862818519E0
3.497596680E-1;-6.895300746E-1;9.097966552E-1;9.787496567E0;9.853845479E0
3.547950010E-1;-6.512228847E-1;9.385270476E-1;9.777919769E0;9.844421734E0
3.597998170E-1;-7.852981687E-1;9.481038451E-1;9.777919769E0;9.855115886E0
3.648351500E-1;-8.810662031E-1;9.576807022E-1;9.739612579E0;9.826163197E0
3.698704840E-1;-7.948749661E-1;8.906430602E-1;9.768342972E0;9.841015989E0
3.749058170E-1;-9.002198577E-1;7.565677166E-1;9.797073364E0;9.867392614E0
3.799106340E-1;-1.197100878E0;7.661445141E-1;9.902418137E0;1.000389489E1
3.849459670E-1;-1.101332784E0;6.799532771E-1;1.003649330E1;1.011960810E1
3.899813010E-1;-9.002198577E-1;7.565677166E-1;9.835380554E0;9.905427863E0
3.950166340E-1;-8.331822157E-1;7.948749661E-1;9.787496567E0;9.855004204E0
4.000214510E-1;-8.619126081E-1;7.757213712E-1;9.730035782E0;9.798889391E0
4.050567840E-1;-9.002198577E-1;7.469909191E-1;9.605537415E0;9.676504547E0
4.100921180E-1;-9.576807022E-1;7.661445141E-1;9.634267807E0;9.712015544E0
4.150969330E-1;-1.005564690E0;7.948749661E-1;9.461885452E0;9.548312043E0
4.201322670E-1;-9.289502501E-1;7.278373241E-1;9.500192642E0;9.573210328E0
4.251676000E-1;-6.991068721E-1;7.278373241E-1;9.538499832E0;9.591740021E0
4.302029340E-1;-6.607996821E-1;7.948749661E-1;9.586383820E0;9.641951938E0
4.352077500E-1;-6.512228847E-1;7.757213712E-1;9.672574997E0;9.725458445E0
4.402430840E-1;-6.033388376E-1;8.714894056E-1;9.835380554E0;9.892331484E0
4.452784170E-1;-5.841852427E-1;7.469909191E-1;9.998186111E0;1.004305697E1
4.503137510E-1;-6.991068721E-1;8.236053586E-1;1.018014526E1;1.023730598E1
4.553185670E-1;-8.906430602E-1;6.607996821E-1;1.043871975E1;1.049746499E1
4.603539010E-1;-1.024718285E0;5.841852427E-1;1.040998936E1;1.047660243E1
4.653892340E-1;-1.082179189E0;6.320692301E-1;1.053448772E1;1.060877255E1
4.704245680E-1;-1.072602391E0;6.799532771E-1;1.032379818E1;1.040161628E1
4.754293830E-1;-1.254561663E0;7.661445141E-1;1.015141487E1;1.025729625E1
4.804647170E-1;-1.302445769E0;6.991068721E-1;1.000776291E1;1.011634489E1
4.855000510E-1;-1.312022567E0;6.991068721E-1;9.768342972E0;9.880823754E0
4.905353850E-1;-1.321599364E0;6.033388376E-1;9.605537415E0;9.714782121E0
4.955402000E-1;-1.426944256E0;6.320692301E-1;9.394847870E0;9.523594275E0
5.005755340E-1;-1.417367458E0;7.469909191E-1;9.174580574E0;9.313423359E0
5.056108670E-1;-1.369483352E0;7.086837292E-1;9.097966194E0;9.227714026E0
5.106462000E-1;-1.168370485E0;6.991068721E-1;9.088389397E0;9.189812938E0
5.156510170E-1;-9.768342972E-1;7.852981687E-1;9.203310966E0;9.288263089E0
5.206863510E-1;-7.182605267E-1;7.948749661E-1;9.222464561E0;9.284480437E0
5.257216840E-1;-4.118026793E-1;9.002198577E-1;9.299078941E0;9.351622661E0
5.307265000E-1;-2.585737705E-1;1.053448796E0;9.481039047E0;9.542888251E0
5.357618340E-1;-7.661445439E-2;1.139639974E0;9.528923035E0;9.597136200E0
5.407971680E-1;1.340752989E-1;1.283292055E0;9.739612579E0;9.824707012E0
5.458325010E-1;2.202665508E-1;1.321599364E0;9.835380554E0;9.926220473E0
5.508373170E-1;3.639186621E-1;1.283292055E0;9.768342972E0;9.858995877E0
5.558726500E-1;-2.873042040E-2;1.139639974E0;9.806650162E0;9.872689203E0
5.609079840E-1;-5.075707436E-1;8.906430602E-1;9.883264542E0;9.936286586E0
5.659433170E-1;-9.289502501E-1;7.661445141E-1;9.998186111E0;1.007043452E1
5.709481340E-1;-1.082179189E0;6.224924326E-1;1.011310768E1;1.018987515E1
5.759834670E-1;-8.140285611E-1;6.512228847E-1;1.008437729E1;1.013811615E1
5.810188010E-1;-8.810662031E-1;6.703764796E-1;1.018972206E1;1.024968868E1
5.860236170E-1;-1.187524080E0;7.278373241E-1;1.017056847E1;1.026549675E1
5.910589510E-1;-1.359906554E0;7.469909191E-1;9.998186111E0;1.011785880E1
5.960942840E-1;-1.474828243E0;7.086837292E-1;9.979032516E0;1.011229158E1
6.011296180E-1;-1.321599364E0;6.895300746E-1;9.864110947E0;9.976109531E0
6.061344330E-1;-1.225831270E0;6.224924326E-1;9.605537415E0;9.703427650E0
6.111697670E-1;-1.120486379E0;6.512228847E-1;9.567230225E0;9.654609010E0
6.162051000E-1;-1.082179189E0;7.086837292E-1;9.500192642E0;9.587857147E0
6.212099170E-1;-9.002198577E-1;6.703764796E-1;9.394847870E0;9.461657726E0
6.262452500E-1;-6.512228847E-1;7.852981687E-1;9.366117477E0;9.421514796E0
6.312805840E-1;-3.830722570E-1;9.385270476E-1;9.346963882E0;9.401771705E0
6.363159170E-1;-2.106897533E-1;9.289502501E-1;9.433155060E0;9.481126153E0
6.413207340E-1;-1.915361360E-2;1.091755986E0;9.519346237E0;9.581766579E0
6.463560670E-1;7.661445439E-2;1.091755986E0;9.615114212E0;9.677201156E0
6.513914010E-1;8.619125932E-2;1.072602391E0;9.787496567E0;9.846471138E0
6.563962170E-1;5.746084079E-2;9.864110947E-1;9.911994934E0;9.961122034E0
6.614315500E-1;-2.106897533E-1;9.289502501E-1;1.004607010E1;1.009112794E1
6.664668830E-1;-3.639186621E-1;8.236053586E-1;1.001733971E1;1.005772625E1
6.715022180E-1;-5.075707436E-1;7.182605267E-1;1.005564690E1;1.009403590E1
6.765070340E-1;-7.374141216E-1;7.278373241E-1;1.001733971E1;1.007078058E1
6.815423670E-1;-8.331822157E-1;6.703764796E-1;1.000776291E1;1.006473624E1
6.865777000E-1;-5.267243981E-1;5.841852427E-1;9.911994934E0;9.943156167E0
6.915825170E-1;-5.458779931E-1;6.416460276E-1;1.001733971E1;1.005270049E1
6.966178510E-1;-9.289502501E-1;6.703764796E-1;9.988609314E0;1.005408719E1
7.016531840E-1;-9.289502501E-1;6.607996821E-1;9.979032516E0;1.004393821E1
7.066885170E-1;-1.034295082E0;6.320692301E-1;9.854534149E0;9.928802603E0
7.116933330E-1;-1.158793569E0;6.033388376E-1;9.902418137E0;9.988228333E0
7.167286670E-1;-1.130063176E0;6.224924326E-1;9.682151794E0;9.767732745E0
7.217640010E-1;-9.959878922E-1;6.512228847E-1;9.595960617E0;9.669464478E0
7.267993340E-1;-8.619126081E-1;7.182605267E-1;9.509769440E0;9.575724846E0
7.318041500E-1;-5.937620401E-1;7.086837292E-1;9.414001465E0;9.459292234E0
7.368394840E-1;-3.351882398E-1;8.427590132E-1;9.433155060E0;9.476655966E0
7.418748170E-1;-1.436520964E-1;8.619126081E-1;9.461885452E0;9.502147419E0
7.468796340E-1;-8.619125932E-2;9.289502501E-1;9.701305389E0;9.746060936E0
7.519149670E-1;-1.053448766E-1;8.810662031E-1;9.825803757E0;9.865789105E0
7.569503010E-1;-2.394201756E-1;7.948749661E-1;9.940725327E0;9.975327977E0
7.619856340E-1;-3.639186621E-1;8.331822157E-1;1.011310768E1;1.015389464E1
7.669904500E-1;-4.501099288E-1;8.236053586E-1;1.022802925E1;1.027100322E1
7.720257840E-1;-6.129156351E-1;7.661445141E-1;1.030464458E1;1.035124838E1
7.770611180E-1;-6.512228847E-1;6.224924326E-1;1.015141487E1;1.019131061E1
7.820659330E-1;-6.224924326E-1;6.224924326E-1;1.002691650E1;1.006548798E1
7.871012670E-1;-5.267243981E-1;7.086837292E-1;9.979032516E0;1.001802182E1
7.921366000E-1;-4.979939461E-1;7.661445141E-1;9.883264542E0;9.925416535E0
7.971719340E-1;-3.734954596E-1;7.661445141E-1;9.787496567E0;9.824538937E0
8.021767500E-1;-3.926490843E-1;7.661445141E-1;9.749189377E0;9.787126454E0
8.072120840E-1;-3.926490843E-1;7.757213712E-1;9.730035782E0;9.768803062E0
8.122474170E-1;-4.979939461E-1;7.565677166E-1;9.758766174E0;9.800709664E0
8.172522330E-1;-8.523358107E-1;7.852981687E-1;9.701305389E0;9.770286373E0
8.222875670E-1;-7.182605267E-1;6.991068721E-1;9.749189377E0;9.800578662E0
8.273229010E-1;-6.320692301E-1;6.129156351E-1;9.797073364E0;9.836555474E0
8.323277170E-1;-6.607996821E-1;6.512228847E-1;9.883264542E0;9.926714737E0
8.373630500E-1;-7.852981687E-1;7.469909191E-1;9.749189377E0;9.809249826E0
8.423983830E-1;-6.991068721E-1;8.236053586E-1;9.662998199E0;9.723199597E0
8.474337170E-1;-4.309563041E-1;7.757213712E-1;9.653421402E0;9.694122536E0
8.524385330E-1;-2.681505978E-1;8.427590132E-1;9.854534149E0;9.894139214E0
8.574738670E-1;-2.394201756E-1;8.236053586E-1;9.911994934E0;9.949034696E0
8.625092000E-1;-2.777273953E-1;7.469909191E-1;9.835380554E0;9.867615648E0
8.675140160E-1;-2.777273953E-1;7.757213712E-1;9.864110947E0;9.898462553E0
8.725493500E-1;-3.064578176E-1;7.661445141E-1;9.787496567E0;9.822218836E0
8.775846840E-1;-2.681505978E-1;6.703764796E-1;9.816226959E0;9.842744591E0
8.825895000E-1;-4.022258818E-1;7.469909191E-1;9.768342972E0;9.805116292E0
8.876248330E-1;-5.554547906E-1;6.033388376E-1;9.883264542E0;9.917230751E0
8.926601660E-1;-4.979939461E-1;6.703764796E-1;9.806650162E0;9.842143567E0
8.976955000E-1;-4.118026793E-1;7.278373241E-1;9.835380554E0;9.870868212E0
9.027003170E-1;-3.830722570E-1;7.182605267E-1;9.844957352E0;9.878553932E0
9.077356500E-1;-4.884171486E-1;7.852981687E-1;9.911994934E0;9.955043350E0
9.127709830E-1;-5.650315881E-1;6.895300746E-1;9.883264542E0;9.923388051E0
9.177757990E-1;-7.086837292E-1;6.512228847E-1;9.873687744E0;9.920485550E0
9.228111340E-1;-7.757213712E-1;7.278373241E-1;9.787496567E0;9.845129753E0
9.278464670E-1;-5.746083856E-1;6.607996821E-1;9.787496567E0;9.826592495E0
9.328512830E-1;-4.405331016E-1;6.320692301E-1;9.787496567E0;9.817773168E0
9.378866160E-1;-3.830722570E-1;7.565677166E-1;9.691728592E0;9.728758511E0
9.429219500E-1;-2.394201756E-1;7.565677166E-1;9.739612579E0;9.771886713E0
9.479572830E-1;-1.053448766E-1;7.086837292E-1;9.777919769E0;9.804134086E0
9.529621000E-1;-9.576806426E-2;7.852981687E-1;9.768342972E0;9.800325972E0
9.579974330E-1;-1.915361285E-1;7.948749661E-1;9.739612579E0;9.773871571E0
9.630327670E-1;-2.585737705E-1;7.374141216E-1;9.739612579E0;9.770910560E0
9.680375820E-1;-2.681505978E-1;7.469909191E-1;9.883264542E0;9.915080341E0
9.730729170E-1;-3.447650373E-1;6.991068721E-1;9.892841339E0;9.923503570E0
9.781082500E-1;-3.064578176E-1;6.991068721E-1;9.883264542E0;9.912698160E0
9.831435840E-1;-3.926490843E-1;6.703764796E-1;9.883264542E0;9.913752868E0
9.881483990E-1;-1.628057212E-1;7.374141216E-1;9.864110947E0;9.892975794E0
9.931837330E-1;-2.681505978E-1;7.661445141E-1;9.883264542E0;9.916541744E0
9.982190660E-1;-1.053448766E-1;7.948749661E-1;9.854534149E0;9.887101044E0
1.003223883E0;-2.585737705E-1;7.469909191E-1;9.911994934E0;9.943465161E0
1.008259216E0;-2.777273953E-1;6.799532771E-1;9.797073364E0;9.824566935E0
1.013294550E0;-3.256114423E-1;6.607996821E-1;9.854534149E0;9.882030274E0
1.018299366E0;-4.213795066E-1;6.895300746E-1;9.768342972E0;9.801710913E0
1.023334700E0;-4.788403511E-1;6.512228847E-1;9.787496567E0;9.820818111E0
1.028370033E0;-4.309563041E-1;6.607996821E-1;9.749189377E0;9.781056848E0
1.033405367E0;-4.501099288E-1;6.416460276E-1;9.739612579E0;9.771098289E0
1.038410183E0;-4.692635238E-1;6.607996821E-1;9.749189377E0;9.782819531E0
1.043445516E0;-4.213795066E-1;6.416460276E-1;9.806650162E0;9.836648703E0
1.048480849E0;-4.884171486E-1;6.224924326E-1;9.844957352E0;9.876701544E0
1.053485666E0;-3.926490843E-1;5.841852427E-1;9.911994934E0;9.936955735E0
1.058521000E0;-5.171475410E-1;5.746083856E-1;9.835380554E0;9.865714724E0
1.063556333E0;-4.213795066E-1;6.703764796E-1;9.864110947E0;9.895840039E0
1.068561149E0;-3.830722570E-1;5.554547906E-1;9.787496567E0;9.810726957E0
1.073596483E0;-3.351882398E-1;6.703764796E-1;9.835380554E0;9.863897122E0
1.078631817E0;-3.926490843E-1;6.320692301E-1;9.720458984E0;9.748897768E0
1.083667150E0;-5.267243981E-1;6.799532771E-1;9.835380554E0;9.872916778E0
1.088671966E0;-5.841852427E-1;5.746083856E-1;9.806650162E0;9.840824894E0
1.093707299E0;-5.363011956E-1;6.033388376E-1;9.844957352E0;9.877996861E0
1.098742633E0;-4.596867263E-1;5.267243981E-1;9.825803757E0;9.850643123E0
1.103747449E0;-5.554547906E-1;5.841852427E-1;9.864110947E0;9.896993846E0
1.108782783E0;-5.267243981E-1;6.512228847E-1;9.873687744E0;9.909149283E0
1.113818116E0;-5.554547906E-1;6.129156351E-1;9.864110947E0;9.898731250E0
1.118853450E0;-5.267243981E-1;5.746083856E-1;9.911994934E0;9.942598099E0
1.123858266E0;-4.213795066E-1;5.746083856E-1;9.844957352E0;9.870710245E0
1.128893600E0;-4.213795066E-1;6.416460276E-1;9.777919769E0;9.808006185E0
1.133928933E0;-4.596867263E-1;6.033388376E-1;9.797073364E0;9.826391817E0
1.138933749E0;-3.830722570E-1;5.650315881E-1;9.672574997E0;9.696634061E0
1.143969082E0;-4.405331016E-1;6.224924326E-1;9.672574997E0;9.702591062E0
1.149004416E0;-2.681505978E-1;5.363011956E-1;9.576807022E0;9.595559205E0
1.154009233E0;-2.489969730E-1;6.512228847E-1;9.634267807E0;9.659462041E0
1.159044566E0;-1.915361285E-1;7.278373241E-1;9.634267807E0;9.663619893E0
1.164079899E0;-3.351882398E-1;6.224924326E-1;9.682151794E0;9.707930333E0
1.169084715E0;-3.160346150E-1;6.895300746E-1;9.605537415E0;9.635438684E0
1.174120050E0;-3.447650373E-1;6.991068721E-1;9.672574997E0;9.703933245E0
1.179155383E0;-2.394201756E-1;6.320692301E-1;9.653421402E0;9.677054216E0
1.184190716E0;-2.681505978E-1;6.607996821E-1;9.672574997E0;9.698828178E0
1.189195532E0;-2.011129409E-1;5.841852427E-1;9.710882187E0;9.730516516E0
1.194230865E0;-1.149216816E-1;6.799532771E-1;9.682151794E0;9.706678465E0
1.199266199E0;-9.576806426E-2;7.182605267E-1;9.777919769E0;9.804732772E0
1.204271016E0;-1.149216816E-1;7.086837292E-1;9.777919769E0;9.804241665E0
1.209306349E0;-5.746084079E-2;6.224924326E-1;9.739612579E0;9.759654286E0
1.214341682E0;-7.661445439E-2;5.746083856E-1;9.749189377E0;9.766408658E0
1.219346498E0;-9.576806426E-2;6.895300746E-1;9.806650162E0;9.831328020E0
1.224381833E0;-5.746084079E-2;6.416460276E-1;9.873687744E0;9.894681452E0
1.229417166E0;-6.703764945E-2;6.607996821E-1;9.969455719E0;9.991556315E0
1.234452499E0;1.915361360E-2;7.182605267E-1;9.979032516E0;1.000486657E1
1.239457315E0;0.000000000E0;6.991068721E-1;9.959878922E0;9.984384736E0
1.244492649E0;-5.746084079E-2;7.374141216E-1;1.004607010E1;1.007326192E1
1.249527982E0;-5.746084079E-2;6.416460276E-1;1.013226128E1;1.015272032E1
1.254532799E0;-1.436520964E-1;6.512228847E-1;1.018014526E1;1.020196475E1
1.259568132E0;-1.532289088E-1;6.129156351E-1;1.025675964E1;1.027619886E1
1.264603466E0;-1.244984865E-1;5.937620401E-1;1.015141487E1;1.016952689E1
1.269638799E0;-1.149216816E-1;6.512228847E-1;1.026633644E1;1.028761207E1
1.274643616E0;-1.436520964E-1;5.554547906E-1;1.019929886E1;1.021542281E1
1.279678949E0;-1.244984865E-1;5.554547906E-1;1.010353088E1;1.011955366E1
1.284714283E0;-1.532289088E-1;6.033388376E-1;1.001733971E1;1.003666238E1
1.289719098E0;-1.915361360E-2;4.979939461E-1;9.959878922E0;9.972339393E0
1.294754432E0;-2.873042040E-2;6.320692301E-1;9.892841339E0;9.913054358E0
1.299789765E0;4.788403213E-2;6.991068721E-1;9.816226959E0;9.841206990E0
1.304794582E0;-8.619125932E-2;6.129156351E-1;9.835380554E0;9.854836638E0
1.309829915E0;9.576806799E-3;6.607996821E-1;1.001733971E1;1.003911563E1
1.314865249E0;-4.788403213E-2;7.086837292E-1;1.017056847E1;1.019534151E1
1.319900582E0;-3.830722719E-2;5.171475410E-1;1.010353088E1;1.011682981E1
1.324905399E0;0.000000000E0;5.267243981E-1;1.005564690E1;1.006943261E1
1.329940732E0;-1.723825186E-1;5.937620401E-1;9.969455719E0;9.988609334E0
1.334976066E0;-2.489969730E-1;6.703764796E-1;9.825803757E0;9.851792912E0
1.339980882E0;-1.436520964E-1;6.033388376E-1;9.710882187E0;9.730667322E0
1.345016215E0;-1.244984865E-1;6.033388376E-1;9.576807022E0;9.596600980E0
1.350051548E0;-1.053448766E-1;7.086837292E-1;9.548076630E0;9.574920234E0
1.355056365E0;-4.788403213E-2;6.895300746E-1;9.653421402E0;9.678134602E0
1.360091699E0;-1.436520964E-1;6.512228847E-1;9.624691010E0;9.647766799E0
1.365127032E0;-1.244984865E-1;6.416460276E-1;9.624691010E0;9.646858894E0
1.370131849E0;-1.628057212E-1;5.841852427E-1;9.557653427E0;9.576874079E0
1.375167182E0;-1.244984865E-1;6.224924326E-1;9.567230225E0;9.588268398E0
1.380202516E0;-1.053448766E-1;6.129156351E-1;9.519346237E0;9.539639191E0
1.385237849E0;-1.436520964E-1;7.182605267E-1;9.452308655E0;9.480647289E0
1.390242665E0;-1.149216816E-1;6.129156351E-1;9.461885452E0;9.482412609E0
1.395277998E0;-1.819593310E-1;6.799532771E-1;9.375694275E0;9.402078961E0
1.400313332E0;-1.340752989E-1;7.086837292E-1;9.471462250E0;9.498884459E0
1.405318148E0;-1.340752989E-1;6.320692301E-1;9.519346237E0;9.541249419E0
1.410353482E0;-7.661445439E-2;6.895300746E-1;9.634267807E0;9.659215169E0
1.415388815E0;-1.149216816E-1;7.086837292E-1;9.720458984E0;9.746936056E0
1.420393632E0;-1.149216816E-1;6.991068721E-1;9.835380554E0;9.860865482E0
1.425428965E0;-6.703764945E-2;6.607996821E-1;9.835380554E0;9.857781744E0
1.430464299E0;-1.149216816E-1;5.171475410E-1;9.864110947E0;9.878326444E0
1.435499632E0;-1.149216816E-1;6.129156351E-1;9.940725327E0;9.960265689E0
1.440504448E0;-1.149216816E-1;5.171475410E-1;1.005564690E1;1.006959200E1
1.445539781E0;-2.873042040E-2;5.841852427E-1;1.010353088E1;1.012044634E1
1.450575115E0;-2.873042040E-2;6.991068721E-1;1.006522369E1;1.008951455E1
1.455579932E0;-5.746084079E-2;6.416460276E-1;1.018972206E1;1.021006597E1
1.460615265E0;-1.244984865E-1;5.458779931E-1;1.021845245E1;1.023378001E1
1.465650598E0;-8.619125932E-2;4.596867263E-1;1.013226128E1;1.014304981E1
